PRESERVE|young|codex/pr-ownership-repo-branch|0c01a20|age_days=1|ahead=1|/Users/jleechan/.worktrees/disk_magician/pr-ownership-fix-retry/
SAFE|zero-ahead|codex/ezgha-disk-pressure-20260714|08aee61|age_days=2|ahead=0|/Users/jleechan/.worktrees/ez-gh-actions/disk-pressure-20260714/
SAFE|zero-ahead|codex/ezgha-launchd-docker-host-20260714|e1693bd|age_days=1|ahead=0|/Users/jleechan/.worktrees/ez-gh-actions/launchd-docker-host-20260714/
PRESERVE|young|codex/runner-dashboard-relocation-20260714|1da34a0|age_days=1|ahead=10|/Users/jleechan/.worktrees/ez-gh-actions/runner-dashboard-relocation-20260714/
NEEDS-REVIEW|uncommitted=7|fix/canary-anchor-ts-polling|da2355dac8|age_days=26|ahead=1729|/Users/jleechan/.worktrees/finish-e2e/
NEEDS-REVIEW|uncommitted=7|fix/agento-no-confirmation-gate|d5c94bdd43|age_days=25|ahead=1733|/Users/jleechan/.worktrees/fix-agento-no-confirmation-gate/
NEEDS-REVIEW|unpushed-ahead-1|fix/consulting-css-leak-into-main-bundle|13c00f8|age_days=28|ahead=1|/Users/jleechan/.worktrees/fix-consulting-css-leak/
NEEDS-REVIEW|uncommitted=7|fix/slack-skill-retire-broken-framing|d970d8ab52|age_days=30|ahead=1678|/Users/jleechan/.worktrees/hermes/slack-skill-29/
NEEDS-REVIEW|untracked+uncommitted=1|feat/homunculus-agy-driver-clean|307825a7df|age_days=20|ahead=26|/Users/jleechan/.worktrees/homunculus-agy-driver-clean/
NEEDS-REVIEW|uncommitted=1|feat/homunculus-agy-driver|ccbbacdcb2|age_days=52|ahead=9257|/Users/jleechan/.worktrees/homunculus-agy-driver/
PRESERVE|young|homunculus-qwen3-coder|0380e47abd|age_days=9|ahead=9259|/Users/jleechan/.worktrees/homunculus-qwen3-coder/
PRESERVE|young|feat/harness-deploy-failure-classify|4475c6d3a6|age_days=3|ahead=1|/Users/jleechan/.worktrees/jc-harness-deploy-failure/
PRESERVE|young|feat/restore-skeptic-cron|185f7bd7fe|age_days=3|ahead=1|/Users/jleechan/.worktrees/jcc-restore-skeptic-cron/
PRESERVE|young|feat/skeptic-auto-merge-launchd|80bacb4e50|age_days=2|ahead=1|/Users/jleechan/.worktrees/jcc-skeptic-auto-merge/
